timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1669272610498957932, 41, 29, 280, 0, 0, 387, 25382, 1, 300, 1350, 405, 7001, 8
1669272610527804704, 41, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272610673174167, 41, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272610700766848, 41, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272610729196386, 41, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272610754710717, 41, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272610781278112, 41, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272610813461743, 41, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272610839137943, 41, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272610868813851, 41, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272610894703413, 41, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272610920561530, 41, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272610949524680, 41, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272610974721966, 41, 29, 280, 0, 0, 395, 25373, 0, 1350, 1350, 7000, 7001, 0
1669272611033534161, 41, 29, 280, 0, 0, 396, 25372, 0, 1350, 1350, 7000, 7001, 0
1669272611052073525, 41, 29, 280, 0, 0, 396, 25372, 0, 1350, 1350, 7000, 7001, 0
1669272611071153718, 42, 29, 280, 0, 0, 401, 25368, 0, 1350, 1350, 7000, 7001, 0
1669272611092185955, 42, 58, 280, 0, 0, 401, 25368, 0, 1350, 1350, 7000, 7001, 0
1669272611111467580, 42, 58, 280, 0, 0, 428, 25341, 0, 1350, 1350, 7000, 7001, 0
1669272611129081830, 42, 58, 280, 0, 0, 428, 25341, 0, 1350, 1350, 7000, 7001, 0
1669272611148142886, 42, 58, 280, 0, 0, 549, 25219, 0, 1350, 1350, 6500, 7001, 2
1669272611179975614, 42, 58, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611198380477, 42, 64, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611216316016, 42, 64, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611235231901, 42, 64, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611255020196, 42, 64, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611275638123, 42, 64, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611295527455, 42, 73, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611316117795, 42, 73, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611336917551, 42, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611357226843, 42, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611377441880, 42, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611397489439, 42, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611416171348, 42, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611433555735, 42, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611454182039, 42, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611473804873, 42, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611493993710, 42, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611514171511, 42, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611532750185, 42, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611553924754, 42, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272611573805505, 42, 74, 280, 3, 0, 598, 25171, 0, 1350, 1350, 6500, 7001, 2
1669272611594514194, 42, 74, 280, 3, 0, 598, 25171, 0, 1350, 1350, 6500, 7001, 2
1669272611613697498, 42, 74, 280, 3, 0, 598, 25171, 0, 1350, 1350, 6500, 7001, 2
1669272611633718579, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611655467913, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611674061660, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611691793330, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611709003773, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611725636980, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611743708309, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611760159000, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611777557300, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611796518559, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611814257423, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611830775076, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611848483420, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611865045771, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611881577377, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611899313130, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611918255946, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611936027009, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611952507142, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611968958751, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272611987328376, 42, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272612003790169, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272612021241454, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272612039902088, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272612057736572, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272612074181481, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272612090695076, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272612109345561, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272612127557434, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272612143988860, 43, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272612162659508, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272612180755432, 42, 75, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272612216015740, 42, 75, 280, 3, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612238758089, 42, 75, 280, 3, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612259530683, 42, 75, 280, 3, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612275957648, 42, 75, 280, 3, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612292416453, 42, 75, 280, 3, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612311857053, 42, 75, 280, 3, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612329069505, 42, 75, 280, 3, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612346834235, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612365678546, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612384004049, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612400901603, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612418397261, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612435250468, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612452809977, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612469352756, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612488414459, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612506834616, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612524344308, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612540744651, 43, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612557240504, 43, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612575055236, 43, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612591605765, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612611132727, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612629598195, 43, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612647062537, 43, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612663971923, 42, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612680926473, 43, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612699171605, 43, 75, 280, 0, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272612739739516, 42, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612762203664, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612780272167, 42, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612796586734, 42, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612814173585, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612832517877, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612849842251, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612866245014, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612882834887, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612900324922, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612916691143, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612935367452, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612953181586, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612969668310, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272612986088844, 42, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272613004274362, 42, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272613020898712, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272613038010780, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272613056732138, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
1669272613074432155, 43, 75, 280, 0, 0, 3823, 21946, 0, 1350, 1350, 6500, 7001, 2
