timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1669272387738364148, 36, 29, 280, 0, 0, 387, 25382, 1, 300, 1350, 405, 7001, 8
1669272387766363974, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272387906913176, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272387935546135, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272387965075507, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272387996020305, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272388024015709, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272388053489417, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272388083919786, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272388109307314, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272388139662089, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272388168388204, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272388195671575, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272388223615444, 36, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272388251183547, 36, 29, 280, 0, 0, 395, 25373, 0, 1350, 1350, 7000, 7001, 0
1669272388309736376, 36, 38, 280, 0, 0, 395, 25373, 0, 1350, 1350, 7000, 7001, 0
1669272388327492543, 36, 38, 280, 0, 0, 396, 25372, 0, 1350, 1350, 7000, 7001, 0
1669272388344922325, 36, 38, 280, 0, 0, 401, 25368, 0, 1350, 1350, 7000, 7001, 0
