timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1669272541685468881, 38, 29, 280, 0, 0, 385, 25384, 1, 300, 1350, 405, 7001, 8
1669272541715915507, 39, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272541859799374, 38, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272541886167520, 38, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272541912664021, 38, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272541939680048, 38, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272541965198721, 38, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272541993813746, 39, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272542020549966, 39, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272542045935618, 39, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272542071599826, 39, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272542100194634, 39, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272542126923655, 39, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 0
1669272542185421649, 39, 29, 280, 0, 0, 395, 25373, 0, 1350, 1350, 7000, 7001, 0
1669272542209424013, 39, 29, 280, 0, 0, 395, 25373, 0, 1350, 1350, 7000, 7001, 0
1669272542228536599, 39, 42, 280, 0, 0, 396, 25372, 0, 1350, 1350, 7000, 7001, 0
1669272542245565782, 39, 42, 280, 0, 0, 401, 25368, 0, 1350, 1350, 7000, 7001, 0
1669272542263989886, 39, 42, 280, 0, 0, 401, 25368, 0, 1350, 1350, 7000, 7001, 0
1669272542283477661, 39, 42, 280, 0, 0, 428, 25341, 0, 1350, 1350, 7000, 7001, 0
1669272542302031731, 39, 42, 280, 0, 0, 428, 25341, 0, 1350, 1350, 7000, 7001, 0
1669272542321036669, 39, 63, 280, 0, 0, 549, 25219, 0, 1350, 1350, 6500, 7001, 2
1669272542352182534, 39, 63, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542369874894, 39, 63, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542388585960, 39, 63, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542407328254, 39, 63, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542426036798, 40, 69, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542444915717, 40, 69, 280, 0, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542464682979, 40, 69, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542484927992, 40, 69, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542504347575, 40, 69, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542522077325, 40, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542541162290, 40, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542561413444, 40, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542581767812, 40, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542601757582, 40, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542621672423, 40, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542642283565, 40, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542661977516, 40, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272542682176960, 40, 74, 280, 3, 0, 598, 25171, 0, 1350, 1350, 6500, 7001, 2
1669272542700995800, 40, 74, 280, 3, 0, 598, 25171, 0, 1350, 1350, 6500, 7001, 2
1669272542719742947, 40, 74, 280, 3, 0, 598, 25171, 0, 1350, 1350, 6500, 7001, 2
1669272542739211993, 40, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272542760115567, 40, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272542777792982, 40, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272542794251179, 40, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272542810822706, 40, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272542829102390, 40, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272542846014019, 40, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272542863446398, 40, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
