timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1669272484328534533, 37, 29, 280, 0, 0, 385, 25384, 1, 300, 1350, 405, 7001, 8
1669272484358185229, 37, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272484502114601, 37, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272484528516722, 37, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272484557766990, 37, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272484584346528, 37, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272484610317278, 37, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272484641408842, 37, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272484667399058, 37, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272484692886924, 37, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272484720802059, 37, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272484747376901, 37, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 8
1669272484772950309, 37, 29, 280, 0, 0, 393, 25376, 1, 300, 1350, 405, 7001, 0
1669272484842699607, 37, 29, 280, 0, 0, 395, 25373, 0, 1350, 1350, 7000, 7001, 0
1669272484865593206, 37, 29, 280, 0, 0, 395, 25373, 0, 1350, 1350, 7000, 7001, 0
1669272484884098748, 37, 43, 280, 0, 0, 396, 25372, 0, 1350, 1350, 7000, 7001, 0
1669272484902736979, 37, 43, 280, 0, 0, 401, 25368, 0, 1350, 1350, 7000, 7001, 0
1669272484925421803, 38, 43, 280, 0, 0, 401, 25368, 0, 1350, 1350, 7000, 7001, 0
1669272484946155351, 38, 43, 280, 3, 0, 428, 25341, 0, 1350, 1350, 7000, 7001, 0
1669272484964376541, 38, 43, 280, 3, 0, 428, 25341, 0, 1350, 1350, 7000, 7001, 0
1669272484981392149, 38, 63, 280, 3, 0, 549, 25219, 0, 1350, 1350, 6500, 7001, 2
1669272485011455317, 38, 63, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485029324904, 38, 63, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485047178917, 38, 63, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485065847715, 38, 63, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485085550499, 38, 69, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485102743342, 38, 69, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485123823160, 38, 69, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485143333078, 38, 69, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485162609299, 38, 69, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485182046309, 38, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485203505809, 38, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485223970358, 38, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485244304541, 38, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485262967057, 38, 73, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485283449221, 38, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485304461094, 38, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485324063296, 38, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485344134691, 38, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485363249445, 38, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485383298720, 38, 74, 280, 3, 0, 558, 25211, 0, 1350, 1350, 6500, 7001, 2
1669272485402947062, 38, 74, 280, 3, 0, 596, 25173, 0, 1350, 1350, 6500, 7001, 2
1669272485421101961, 38, 74, 280, 3, 0, 598, 25171, 0, 1350, 1350, 6500, 7001, 2
1669272485437579579, 38, 74, 280, 3, 0, 598, 25171, 0, 1350, 1350, 6500, 7001, 2
1669272485454054446, 38, 74, 280, 3, 0, 598, 25171, 0, 1350, 1350, 6500, 7001, 2
1669272485473482345, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485493868458, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485510348382, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485529247095, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485548321936, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485566828952, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485584219667, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485600887404, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485617520636, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485636540809, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485653107828, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485670555957, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485691199449, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485710444165, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485728986887, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485746142138, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485762969035, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485780179829, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485799185633, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485815826167, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485833506021, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485852785400, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485870900479, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485888150238, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485905059585, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485922427490, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485941864341, 38, 74, 280, 3, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485958850388, 38, 74, 280, 1, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485975917536, 38, 74, 280, 1, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272485994624061, 38, 74, 280, 1, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272486012391051, 38, 74, 280, 1, 0, 3819, 21950, 0, 1350, 1350, 6500, 7001, 2
1669272486051951815, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486076126891, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486096436710, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486114741984, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486131614303, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486148631451, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486165131854, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486181599503, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486198781102, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486217457734, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486235106843, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486251631217, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486268181658, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486286579955, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486303208227, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486321144582, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486340128152, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486358454712, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486376646943, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486393135081, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486410029379, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486427679111, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486444020794, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486462820370, 39, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486480967613, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486498155693, 39, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
1669272486514841744, 38, 74, 280, 1, 0, 3821, 21948, 0, 1350, 1350, 6500, 7001, 2
